title,category,type,medium,frame,photo_url_link,artist,site,street_address,city,zip_code,state,latitude,longitude
MAYOR FRANK A SEDITA,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/FRANK%20SEDITA.HTML,GEORGE PALMER,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
CITY SEAL,DECORATIVE OBJECTS,PLAQUE,COPPER,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SEAL%20OF%20THE%20CITY%20OF%20BUFFALO%20I.HTML,JAZEF SLAWIAFSKI,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR JAMES D GRIFFIN,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,UNKNOWN,PAUL ZINTER,COCA-COLA FIELD,1 JAMES D GRIFFIN PLAZA,BUFFALO,14203,NY,42.881297,-78.873975
SYMPHONY CIRCLE LAMP STAND,DECORATIVE OBJECTS,LAMP,CARBON STEEL AND FIBERGLASS,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SYMPHONY%20CIRCLE%20LAMP%20STAND.HTML,COLGATE INDUSTRIES,SYMPHONY CIRCLE,3 SYMPHONY CIRCLE,BUFFALO,14201,NY,42.902336,-78.881947
PRESIDENT JOHN F KENNEDY,SCULPTURE,BUST,BRONZE ON GRANITE BASE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/J.F.K.%20BUST.HTML,BRYANT BAKER,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR ELBRIDGE G SPAULDING,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/ELBRIDGE%20SPAULDING.HTML,L G SELLSTEDT,2ND FLOOR STORAGE CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
EDUCATION,PAINTINGS,LUNETTE MURAL,OIL ON CANVAS WITH  PLASTER RELIEF,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/EDUCATION.HTML,WILLIAM DE LEFTWICH DODGE,1ST FLOOR CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR JOSEPH J KELLY,PHOTOGRAPHY,PORTRAIT,PHOTOGRAPHIC IMAGE,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOSEPH%20KELLY.HTML,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
SOLDIERS AND SAILORS MONUMENT,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SOLDIERS%20AND%20SAILORS.HTML,CASPER BUBERT,LAFAYETTE SQUARE,415 MAIN ST,BUFFALO,14203,NY,42.885686,-78.873991
GEORGE W MALTBY MEMORIAL,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GEORGE%20W.%20MALTBY%20MEMORIAL.HTML,UNKNOWN,DELAWARE PARK,199 LINCOLN PKWY,BUFFALO,14209,NY,42.931635,-78.873736
